"ID","問題文","選択肢1","選択肢2","選択肢3","選択肢4","正解番号","解説"
"1","Webページの内容（文章・画像など）を作る言語はどれか。","HTML","CSS","JavaScript","PHP","1","HTMLはWebページの構造と内容を記述するマークアップ言語です。"
"2","Webページの見た目（色・大きさ・配置など）を整える言語はどれか。","HTML","CSS","JavaScript","PHP","2","CSSはHTMLで作られた要素にデザインを適用するための言語です。"
"3","ページ内で最も重要な見出しを表すHTMLタグはどれか。","h1","h2","p","div","1","h1は最上位の見出しを表すタグです。"
"4","HTMLで要素の始まりを示すタグを何というか。","開始タグ","終了タグ","セレクタ","プロパティ","1","開始タグは要素の開始位置を示します。"
"5","HTMLで要素の終わりを示すタグを何というか。","開始タグ","終了タグ","セレクタ","プロパティ","2","終了タグはスラッシュ（/）が付いたタグで、要素の終わりを示します。"
"6","CSSで、どの要素にスタイルを適用するかを指定する部分を何というか。","セレクタ","プロパティ","値","属性","1","セレクタはスタイルを当てる対象を指定します。"
"7","CSSで、変更したい項目（色・大きさなど）を指定する部分を何というか。","セレクタ","プロパティ","値","属性","2","プロパティは何を変更するかを示します。"
"8","CSSで、プロパティに対して設定する具体的な内容（red、20pxなど）を何というか。","セレクタ","プロパティ","値","属性","3","値（value）はプロパティの具体的な設定内容です。"
"9","段落（まとまった文章）を表すHTMLタグはどれか。","p","br","img","div","1","pタグは段落を表します。"
"10","画像を表示するためのHTMLタグはどれか。","img","p","div","picture","1","imgタグは画像を表示するためのタグです。"
"11","HTML要素にCSSを適用するための“名前”をつける属性はどれか。","id","class","src","alt","2","class属性はCSSで指定するための名前を付ける属性です。"
"12","文章を途中で改行するためのHTMLタグはどれか。","br","p","hr","div","1","brタグは強制改行を行うタグです。"
"13","&lt;section class=""shop""&gt; にCSSを適用するための正しいセレクタはどれか。",".shop","section","shop","#shop","1","class名を指定する場合は .クラス名 の形式で記述します。"
"14","文字の色を変更するCSSプロパティはどれか。","color","font-color","text-color","font-style","1","colorプロパティは文字の色を指定します。"
"15","文字の大きさを変更するCSSプロパティはどれか。","font-size","text-size","size","font-style","1","font-sizeは文字の大きさを指定します。"
"16","文字の種類（フォント）を指定するCSSプロパティはどれか。","font-family","font-style","font-weight","text-align","1","font-familyはフォントの種類を指定します。"
"17","文字の配置（左揃え・中央揃えなど）を指定するCSSプロパティはどれか。","text-align","align","position","float","1","text-alignは文字の配置を指定します。"
"18","枠線の種類（実線・点線など）を指定するCSSプロパティはどれか。","border-style","border-type","border-kind","border-line","1","border-styleは線の種類を指定します。"
"19","枠線の色を指定するCSSプロパティはどれか。","border-color","border-style","border-width","border-radius","1","border-colorは枠線の色を指定します。"
"20","枠線の太さを指定するCSSプロパティはどれか。","border-width","border-size","border-thick","border-style","1","border-widthは枠線の太さを指定します。"
"21","要素の角を丸くするCSSプロパティはどれか。","border-radius","border-round","corner-radius","radius","1","border-radiusは角を丸くするプロパティです。"
"22","背景に画像を設定するCSSプロパティはどれか。","background-image","background-color","img","image","1","background-imageは背景に画像を設定します。"
"23","要素の高さを指定するCSSプロパティはどれか。","height","width","padding","margin","1","heightは要素の高さを指定します。"
"24","要素の内側の余白を指定するCSSプロパティはどれか。","padding","margin","border","space","1","paddingは内側の余白を指定します。"
"25","要素の外側の余白を指定するCSSプロパティはどれか。","margin","padding","border","space","1","marginは外側の余白を指定します。"
"26","背景色を赤にするCSSの正しい記述はどれか。","background-color: red;","color: red;","background: image(red);","bg-color: red;","1","background-colorは背景色を指定します。"
"28","要素の左側にだけ実線の枠線を付ける正しいCSSはどれか。","border-left: 1px solid;","border-style: solid;","border-left-style: solid;","border: left solid;","1","border-left は太さ・種類・色をまとめて指定できます。"
"29","画像を右側に寄せ、文章を左側に回り込ませるCSSはどれか。","float: right;","text-align: right;","position: right;","margin-right: auto;","1","float: right は要素を右に寄せ、後続要素を左に回り込ませます。"
"30","複数の要素を1つのグループとしてまとめるHTMLタグはどれか。","div","span","p","section","1","divはレイアウトのために要素をまとめる箱として使われます。"
"31","box-sizing: content-box のとき、width: 240px; padding: 20px 20px; の要素の全幅は何pxか。","280px","240px","300px","260px","1","content-boxではpaddingが幅に加算されるため、240 + 20 + 20 = 280px です。"
"32","要素を左に寄せて横に並べるCSSはどれか。","float: left;","display: inline;","position: left;","align: left;","1","float: left は要素を左に寄せ、横並びを作ります。"
