"ID","問題文","選択肢1","選択肢2","選択肢3","選択肢4","正解番号","解説"
"1","現代社会において、人々の生活や産業のあり方に大きな変革をもたらしている基盤的な技術を何というか。","情報技術","情報システム","情報インフラ","POSシステム","1","情報技術（IT）は社会を支える根幹の技術であり、生活のあらゆる面に浸透しています。"
"2","キャッシュレス決済の普及を支えた要因として、スマートフォンの普及以外に挙げられる通信環境の変化は何か。","通信の低速化","通信の高速化","アナログ通信の拡大","通信の限定利用","2","大容量データを瞬時に処理できる高速化が、リアルタイムな決済を可能にしました。"
"3","販売データの管理だけでなく、ポイント付与やクーポン発行などの多様な機能を備えたレジの仕組みを何というか。","情報システム","POSシステム","情報インフラ","データマイニング","2","POS（販売時点情報管理）システムは、顧客情報と売上情報を連動させて管理します。"
"4","収集されたデータを利用可能な形に処理し、必要な場所へと伝達する一連の仕組みを何と定義するか。","情報技術","情報モラル","情報システム","情報デザイン","3","入力、処理、出力のプロセスを経て価値を生む仕組みを情報システムと呼びます。"
"5","インターネットのように、現代社会の活動を維持する上で欠かせない基盤的な設備を何というか。","情報技術","情報システム","情報インフラ","情報モラル","3","電力や水道と同様に、社会を支える情報網を情報インフラと呼びます。"
"6","情報社会において、適切な活動を行うための基盤となる考え方や態度のことを何というか。","情報システム","情報セキュリティポリシー","情報モラル","著作権法","3","技術の活用能力だけでなく、倫理観やマナーを含めた情報モラルが重要です。"
"7","組織が情報の取り扱い方法や手順を具体的に定め、セキュリティを確保するために策定する規程を何というか。","情報セキュリティポリシー","情報モラル","個人情報保護法","不正アクセス禁止法","1","組織全体で統一された情報の安全管理基準を情報セキュリティポリシーといいます。"
"8","小説や音楽など、人が思想や感情を創作的に表現した著作物に関する権利を保護する法律は何か。","個人情報保護法","不正アクセス禁止法","商標法","著作権法","4","著作者の権利を守り、文化の発展を目的とした法律です。創作時に自動的に権利が発生します。"
"9","他人のID・パスワードの悪用や、システムの脆弱性を突いた侵入行為などを規制する法律は何か。","著作権法","不正アクセス禁止法","個人情報保護法","電気通信事業法","2","コンピュータネットワークを通じた不正なアクセスや、それを助長する行為を禁じる法律です。"
"10","個人の権利を保護するために、個人情報の適正な取り扱いと活用のバランスを図ることを目的とした法律は何か。","不正アクセス禁止法","個人情報保護法","情報セキュリティポリシー","情報モラル","2","氏名や生年月日など、特定の個人を識別できる情報を適切に扱うための法律です。"
"11","情報モラルにおける責任の考え方として、最も適切なものはどれか。","自分の利益を最優先すること","発信する情報や行動に責任を持ち、自他の権利を尊重すること","法律で禁止されていないことはすべて自由に行うこと","匿名であれば何を書いても責任を問われないと考えること","2","情報社会の一員として、自らの行動が他者に与える影響を自覚する態度が求められます。"
"12","情報モラルにおけるルールやマナーの考え方として、適切なものはどれか。","仲間内だけで通用するルールを優先すること","情報社会の一員としての公共的な意識を持ち、遵守すること","古いマナーはすべて無視して新しい技術に従うこと","自分に都合の良い法律だけを守ること","2","インターネットの向こう側には人間がいることを意識し、公共の秩序を守る態度が必要です。"
"13","情報モラルにおける安全利用の知識として、正しく対応すべきものはどれか。","セキュリティの基本を理解し、不適切な情報に正しく対応すること","パスワードは覚えやすいよう誕生日と同じにすること","見知らぬメールの添付ファイルはすべて開くこと","常に最新の情報を無条件に信頼すること","1","自身の身を守るための情報セキュリティの知識を備えることも情報モラルの一部です。"
"14","情報セキュリティポリシーの基本方針において定められる内容はどれか。","システムごとの具体的な運用ルール","情報資産をどのように守るかという組織としての最高指針","パスワードの桁数設定","サーバ室の入退室管理方法","2","基本方針は組織のトップが決定する、情報セキュリティに対する最も根本的な考え方です。"
"15","情報セキュリティポリシーの対策基準に該当するものはどれか。","組織の最高指針の公表","具体的な操作マニュアルの作成","組織全体で守るべき何を守るかという具体的なルール","OSのアップデート手順の記述","3","基本方針に従い、規程を具体化した何を実施すべきかという基準です。"
"16","情報セキュリティポリシーの実施手順において記述される内容はどれか。","組織のセキュリティに対する姿勢","システムや部署別のガイドライン","個別の情報機器やソフトウェアの具体的な操作マニュアル","個人の倫理規程","3","対策基準を満たすためにどのように実施するかを記した、実務的な手順書です。"
"17","情報セキュリティポリシーの例のうち、対策基準として適切なものはどれか。","OSやウイルス対策ソフトの具体的な更新手順","パスワードは英数字8文字以上とするなどの共通ルール","情報資産を守るという最高レベルの宣言","外部業者への委託契約書の雛形","2","具体的な数値や基準を設け、組織内で統一して守るべき項目を指します。"
"18","情報セキュリティポリシーの例のうち、実施手順として適切なものはどれか。","サーバ室への入退室管理基準の策定","組織としての情報保護宣言","コンピュータウイルス対策ソフトウェアの導入手順の策定","セキュリティ教育の年間計画の策定","3","現場で迷わず作業できるよう、手順をフロー化したものを指します。"
"19","情報セキュリティポリシーの対策基準において、物理的な管理として定められる例はどれか。","パスワードの変更頻度の設定","サーバ室への入退室の管理基準","バックアップデータの保存手順","ソフトウェアのインストール方法","2","建物や設備、機器への立ち入りや取り扱いに関する基準も対策基準に含まれます。"
"20","閲覧権限のない成績データを盗み見るために、他人のIDとパスワードを無断で入手し記録した行為は何に該当するか。","不正アクセス禁止法における禁止行為","著作権法における複製権の侵害","個人情報保護法における開示義務違反","正当な業務行為","1","他人の識別符号を無断で取得・保持する行為は、不正アクセス禁止法で規制されています。"
"21","他人のIDとパスワードを利用してSNSにログインし、本人になりすまして投稿した行為は何に該当するか。","著作権法違反","不正アクセス禁止法におけるなりすましの禁止行為","個人情報保護法違反","不正競争防止法違反","2","他人の権限を悪用してコンピュータを利用するなりすましは同法の代表的な禁止行為です。"
"22","保管庫にある人事評価情報の入ったUSBメモリを無断で持ち出し、自分のPCにコピーした行為の法的性質はどれか。","不正アクセス禁止法違反に直接該当する","組織内の規程違反や窃盗の可能性があるが、不正アクセス禁止法には該当しない","著作権法上の私的使用のための複製である","個人情報保護法により認められている","2","ネットワーク経由の侵入やパスワード悪用ではない物理的持ち出しは、通常、同法の対象外です。"
"23","著作権法における著作者の定義として正しいものはどれか。","文化庁に登録した者のみが著作者となれる","思想や感情を創作的に表現した者は、法人であっても著作者になれる","著作者は必ず個人でなければならない","著作権を購入した者が著作者となる","2","法人著作（職務著作）が認められており、株式会社なども著作者になり得ます。"
"24","著作権法に関する説明として、正しいものはどれか。","私的利用のための複製であっても、常に著作権者の許可が必要である","著作権は著作者が死亡した瞬間にすべて消滅する","著作者人格権の一つである同一性保持権は、相続することができない","著作権は文化庁へ登録しなければ発生しない","3","著作者人格権は著作者本人に専属する権利（一身専属権）であり、相続や譲渡はできません。"
"25","情報システムの例として適切でないものはどれか。","銀行のオンライン窓口やATM","鉄道の自動改札や座席予約システム","自分の考えや日々の出来事を手書きで記した日記帳","インターネットショッピングの注文管理システム","3","デジタルデータとして収集・処理・伝達する仕組みを持たないアナログな記録は該当しません。"
"32","情報の受け手にわかりやすく、的確に情報を伝達するための工夫や理論を何というか。","情報技術","情報モラル","情報デザイン","情報インフラ","3","目的に応じて情報を整理・表現し、受け手の理解を助けることが情報デザインの役割です。"
"33","情報デザインにおける抽象化の説明として、最も適切なものはどれか。","図やグラフなどで視覚的に分かりやすく表現すること","大量の情報の中から本質的な要素を抜き出すこと","要素同士の関係性を論理的に整理すること","すべての情報を詳細に記述すること","2","複雑な事象から不要な部分を削ぎ落とし、重要な要素だけを抽出するプロセスです。"
"34","情報デザインにおける可視化の説明として、最も適切なものはどれか。","複雑な関係性を階層構造で示すこと","情報の細部を省略すること","図やグラフなどを用いて、目に見えないデータを視覚的に表現すること","情報を暗号化して隠すこと","3","数値や変化の傾向をグラフなどで視覚に訴える形にすることです。"
