ID,問題文,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説
1,「保存」や「元に戻す」など、頻繁に使うコマンドを画面左上に配置できる領域の名称を答えなさい。,タイトルバー,ステータスバー,クイックアクセスツールバー,リボン,スクロールバー,3,画面左上によく使うコマンドを自由に配置できる領域は「クイックアクセスツールバー」です。
2,画面の最上部に位置し、現在開いているファイル名やアプリ名が表示される領域の名称を答えなさい。,クイックアクセスツールバー,タイトルバー,ズームスライダー,リボン,ステータスバー,2,ファイル名やアプリ名が表示される最上部の帯状の部分は「タイトルバー」です。
3,画面上部にあり、機能ごとにタブで整理されたコマンドボタンがまとまっている帯状の領域の名称を答えなさい。,リボン,スクロールバー,タイトルバー,クイックアクセスツールバー,ズームスライダー,1,タブごとに各種コマンドがまとめられた帯状の領域を「リボン」と呼びます。
4,画面に収まりきらない部分を表示するために、画面を上下左右にスライドさせるバーの名称を答えなさい。,ステータスバー,ズームスライダー,タイトルバー,リボン,スクロールバー,5,画面に収まらない部分を見るために画面をスライドさせるのは「スクロールバー」です。
5,画面の最下部に位置し、現在のページ数や文字数などの状態を表示する領域の名称を答えなさい。,ステータスバー,タイトルバー,クイックアクセスツールバー,スクロールバー,リボン,1,ページ数や文字数、表示モードなどの情報が表示される最下部は「ステータスバー」です。
6,画面の右下にあり、スライダーを動かして画面の表示倍率（拡大・縮小）を変更できる機能の名称を答えなさい。,ズームスライダー,リボン,ステータスバー,タイトルバー,スクロールバー,1,画面の右下で表示倍率（ズーム）を拡大・縮小できる機能は「ズームスライダー」です。
7,文書を効率的に作成する順番を答えなさい,印刷 → 文字の入力 →書式の変更・表や図、写真の挿入,書式の変更・表や図、写真の挿入→ 印刷 →文字の入力,文字の入力 → 印刷→ 書式の変更・表や図、写真の挿入,文字の入力 → 書式の変更・表や図、写真の挿入→ 印刷,,4,まず文字を入力し、その後にレイアウトや装飾を行い、最後に印刷するのが最も効率的です。
8,入力した文字列を、その行の右端に移動する機能,右寄せ,センタリング,均等割付,左寄せ,,1,文字列を右側の余白に合わせて配置する機能は「右寄せ」です。
9,入力した文字列を、その行の中央に移動する機能,右寄せ,左寄せ,センタリング,均等割付,,3,文字列を行の中央に配置する機能は「センタリング（中央揃え）」です。
10,文字列を強調するために、文字列を太く表示する機能,斜体,下線,太字,網掛け,,3,文字の線を太くして強調するのは「太字（ボールド）」機能です。
11,文字列を強調するために、文字列を線で囲む機能,網掛け,文字飾り,下線,囲み線,,4,文字の周囲を線で囲んで目立たせる機能は「囲み線」です。
12,文字列を強調するために、文字列を斜めに傾ける機能,太字,斜体,文字飾り,ルビ,,2,文字を斜めに傾けて表示するのは「斜体（イタリック）」機能です。
13,文字列を強調するために、文字列の下に線を引く機能,下線,網掛け,囲み線,太字,,1,文字の下に線（アンダーライン）を引くのは「下線」機能です。
14,文字列を強調するために、網目模様をつける機能,文字飾り,囲み線,網掛け,下線,,3,文字の背景に色や模様をつけて強調するのは「網掛け」です。
15,文字列の見た目を良くするために、影付きや中抜きの文字にする機能,文字飾り,ルビ,均等割付,斜体,,1,影付きや縁取りなどで文字を装飾する機能は「文字飾り」です。
16,文字間隔を均等にして、文字列の長さを揃える機能,センタリング,均等割付,右寄せ,複写,,2,指定した文字数（幅）に合わせて文字間隔を均一に広げるのは「均等割付」です。
17,入力した文字列を、別の位置にコピーする機能,移動,複写,削除,ルビ,,2,文字列を残したまま別の場所にも同じものを配置するのは「複写（コピー）」です。
18,入力した文字列を、別の位置に移す機能,複写,移動,均等割付,削除,,2,文字列を元の場所から切り取って別の場所へ移すのは「移動（カット＆ペースト）」です。
19,入力した文字列の上に、ふりがなを付ける機能,文字飾り,網掛け,ルビ,囲み線,,3,漢字などの上にふりがな（読み方）を振る機能は「ルビ」です。
20,自分の考えを述べるときには感想は書かない。,○,×,,,,1,レポート等の論理的な文章では、主観的な感想ではなく客観的な意見を述べます。
21,事実と意見は区別しない。,○,×,,,,2,客観的な「事実」と主観的な「意見」は明確に区別して書く必要があります。
22,タイトルは大きな字で最初に書いておく。,○,×,,,,1,タイトルは文書の主題を示すため、大きく目立つように最初に配置します。
23,色々な話題を出し、一貫性は考えない。,○,×,,,,2,文書全体を通して話題や論理に一貫性を持たせることが重要です。
24,実験結果や客観的事実は断定的な書き方をする。,○,×,,,,1,客観的事実や結果は「〜である」「〜であった」と断定的に書きます。
25,自分の意見は意見とわかるように書かない。,○,×,,,,2,自分の意見は「〜と考える」など、意見であることが明確に分かるように書きます。
26,グラフや画像を利用することで視覚的に情報を伝える。,○,×,,,,1,グラフや画像は、数値や状況を視覚的で分かりやすく伝えるのに非常に有効です。
27,高さと幅がほぼ等しい文字の大きさを全角という。,○,×,,,,1,縦横の比率が1:1の標準的な文字サイズを「全角」と呼びます。
28,幅が全角の半分にした文字の大きさを半角という。,○,×,,,,1,全角の半分の幅（縦長）を持つ文字サイズを「半角」と呼びます。
