ID,問題文,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説
1,文書処理ソフトの画面左上にあり、上書き保存などのよく使う機能を登録しておく領域の名称は何か？,クイックアクセスツールバー,タイトルバー,リボン,スクロールバー,ステータスバー,1,クイックアクセスツールバーは頻繁に利用する機能を登録して即座に実行するための場所です。
2,文書処理ソフトの画面最上部中央にあり、現在編集しているファイル名が表示される領域の名称は何か？,クイックアクセスツールバー,タイトルバー,リボン,スクロールバー,ステータスバー,2,タイトルバーには現在開いている文書のファイル名が表示されます。
3,文書処理ソフトの上部にあり、タブごとに文書作成に必要な各種機能ボタンがまとめられている領域の名称は何か？,クイックアクセスツールバー,タイトルバー,リボン,スクロールバー,ステータスバー,3,リボンには文書作成のためのコマンドが機能ごとに整理されて配置されています。
4,文書処理ソフトの画面右側や下部にあり、画面に表示しきれない部分を上下左右に移動させて表示する操作部の名称は何か？,リボン,スクロールバー,ステータスバー,ズームスライダー,作業領域,2,スクロールバーを操作することで、表示範囲を移動させることができます。
5,文書処理ソフトの画面最下部左側にあり、現在のページ数や文字数などの状態が表示される領域の名称は何か？,タイトルバー,リボン,スクロールバー,ステータスバー,ズームスライダー,4,ステータスバーには文書の統計情報や現在の状態がリアルタイムで表示されます。
6,文書処理ソフトの画面右下にあり、画面の表示倍率（ズーム）を拡大・縮小して変更する機能の名称は何か？,リボン,スクロールバー,ステータスバー,ズームスライダー,作業領域,4,ズームスライダーのつまみを動かすことで、画面の表示サイズを調節できます。
7,行揃え（左揃え、中央揃え、右揃え）の設定を行うためにあてはまるタブはどれか？,ホーム,挿入,レイアウト,表示,校閲,1,行揃えなどの段落に関する基本設定はホームタブで行います。
8,下線や太字、斜体の設定を行うためにあてはまるタブはどれか？,ホーム,挿入,レイアウト,表示,校閲,1,フォントの書式設定（太字、斜体、下線など）はホームタブで行います。
9,表や図、写真などを挿入するためにあてはまるタブはどれか？,ホーム,挿入,レイアウト,表示,校閲,2,文書への外部要素（表、図、写真）の追加は挿入タブから行います。
10,ページ設定（文字数・行数など）をするためにあてはまるタブはどれか？,ホーム,挿入,レイアウト,表示,校閲,3,用紙の向きや余白、文字数・行数などのページ全体の設定はレイアウトタブで行います。
11,行頭文字を設定するためにあてはまるタブはどれか？,ホーム,挿入,レイアウト,表示,校閲,1,箇条書きや行頭文字の設定はホームタブにある段落グループで行います。
12,フォントやフォントサイズを設定するためにあてはまるタブはどれか？,ホーム,挿入,レイアウト,表示,校閲,1,文字の字体や大きさの変更はホームタブの基本機能です。
13,用紙の方向（縦・横）を変更するためにあてはまるタブはどれか？,ホーム,挿入,レイアウト,表示,校閲,3,用紙を縦向きにするか横向きにするかの設定はレイアウトタブに含まれます。
14,用紙の余白を変更するためにあてはまるタブはどれか？,ホーム,挿入,レイアウト,表示,校閲,3,上下左右の余白量の設定はレイアウトタブのページ設定で行います。
15,3行5列の表を挿入する場合、マウスでドラッグする正しい範囲はどれか？,横に3マス・縦に5マス,横に5マス・縦に3マス,横に3マス・縦に3マス,横に5マス・縦に5マス,横に1マス・縦に15マス,2,3行は縦（垂直方向）に3個、5列は横（水平方向）に5個のマス目を選択します。
16,文字列を四角い線で囲む機能の名称は何か？,網かけ,二重下線,囲み線,斜体,太字,3,文字列の周囲を枠線で囲んで強調する機能を囲み線と呼びます。
17,文字列の背景に網目模様やグレーなどの色を塗る機能の名称は何か？,網かけ,二重下線,囲み線,斜体,太字,1,文字列の背後に色やパターンを施す機能を網かけと呼びます。
18,文字列の下に2本の線（二重線）を引く機能の名称は何か？,網かけ,二重下線,囲み線,斜体,太字,2,強調したい文字の下に2本の線を引く装飾を二重下線といいます。
19,画面構成の左上に位置し、頻繁に使うボタンを配置する領域の名称は何か？,クイックアクセスツールバー,タイトルバー,リボン,スクロールバー,ステータスバー,1,頻繁に使うコマンドをクイックアクセスツールバーに登録しておくと効率的です。
20,画面中央最上部でファイル名を確認できる領域の名称は何か？,クイックアクセスツールバー,タイトルバー,リボン,スクロールバー,ステータスバー,2,タイトルバーには開いているドキュメントの名称が中央に表示されます。
21,上部タブの下に広がる機能ボタンの集合体の名称は何か？,クイックアクセスツールバー,タイトルバー,リボン,スクロールバー,ステータスバー,3,リボンには各タブに関連したコマンドがボタン形式で並んでいます。
22,表示範囲を移動させるために使う画面右端や下部の操作部の名称は何か？,クイックアクセスツールバー,タイトルバー,リボン,スクロールバー,ステータスバー,4,画面をスクロールさせるための操作部をスクロールバーといいます。
23,画面の最下部左側でページ数などを確認できる領域の名称は何か？,クイックアクセスツールバー,タイトルバー,リボン,スクロールバー,ステータスバー,5,ステータスバーは画面の最下部にあり、文書に関する情報を表示します。
24,画面の右下で表示倍率をスライドして変更する機能の名称は何か？,ズームスライダー,タイトルバー,リボン,スクロールバー,ステータスバー,1,画面の拡大・縮小を行うバーをズームスライダーと呼びます。
25,文書を効率的に作成するための手順として、適切な順番はどれか？,文字の入力→書式の変更・図表の挿入→印刷,印刷→文字の入力→書式の変更・図表の挿入,書式の変更・図表の挿入→印刷→文字の入力,文字の入力→印刷→書式の変更・図表の挿入,書式の変更・図表の挿入→文字の入力→印刷,1,まず文字を入力し、次に書式変更や表の挿入を行い、最後に印刷するのが効率的です。
26,高さと幅がほぼ等しい、ふつうの文字の大きさを、本格（ほんかく）というこの記述は正しいか？,○,×,,,,2,本格ではなく全角（ぜんかく）が正しい用語です。
27,幅を全角の半分にした文字の大きさを、半角（はんかく）というこの記述は正しいか？,○,×,,,,1,全角の半分の幅の文字は半角と呼ばれます。
28,1行に入力できる文字の数を、行数というこの記述は正しいか？,○,×,,,,2,1行に入力できる文字の数は文字数であり、行数は1ページあたりの行の数です。
29,〒の記号は、ゆうびんと入力し、変換すると出てくるこの記述は正しいか？,○,×,,,,1,読みを入力して変換することで、関連する記号や絵文字を出すことができます。
30,明朝体やゴシック体などを、フォントというこの記述は正しいか？,○,×,,,,1,特定のデザインで統一された文字のセットをフォントといいます。
31,新聞や国語の教科書のような向きで、文字を書くことを、縦書きというこの記述は正しいか？,○,×,,,,1,上から下へ、右から左へ書き進める形式が縦書きです。
32,文字の大きさのことを、ポイントというこの記述は正しいか？,○,×,,,,1,文書作成ソフトにおける文字サイズの単位はポイント（pt）です。
33,3列6行の表を挿入する場合、マウスでドラッグする正しい範囲はどれか？,横に3マス・縦に6マス,横に6マス・縦に3マス,横に3マス・縦に3マス,横に6マス・縦に6マス,横に1マス・縦に18マス,1,3列（横3個）、6行（縦6個）の範囲を選択して挿入します。
34,入力した文字列を、その行の中央に移動する機能の名称は何か？,右寄せ,センタリング,斜体,囲み線,太字,2,中央に配置することをセンタリング（中央揃え）といいます。
35,入力した文字列を、その行の右端に移動する機能の名称は何か？,右寄せ,センタリング,斜体,囲み線,太字,1,右端に揃えることを右寄せといいます。
36,文字列を強調するために、文字を斜めに傾ける機能の名称は何か？,右寄せ,センタリング,斜体,囲み線,太字,3,文字を右に少し傾けて目立たせる装飾を斜体といいます。
37,文字列を強調するために、文字列を四角い線で囲む機能の名称は何か？,右寄せ,センタリング,斜体,囲み線,太字,4,周囲を線で囲む強調機能を囲み線といいます。
